Date,Product_ID,Store_ID,Units_Sold,Revenue,Promotion,Holiday
2022-01-01,P001,S001,163,4075.0,0,1
2022-01-01,P001,S002,148,3700.0,0,1
2022-01-01,P002,S001,129,5160.0,0,1
2022-01-01,P002,S002,159,6360.0,0,1
2022-01-01,P003,S001,152,2280.0,0,1
2022-01-01,P003,S002,164,2460.0,0,1
2022-01-02,P001,S001,114,2850.0,1,0
2022-01-02,P001,S002,86,2150.0,0,0
2022-01-02,P002,S001,96,3840.0,0,0
2022-01-02,P002,S002,90,3600.0,0,0
2022-01-02,P003,S001,85,1275.0,0,0
2022-01-02,P003,S002,92,1380.0,0,0
2022-01-03,P001,S001,86,2150.0,0,0
2022-01-03,P001,S002,80,2000.0,0,0
2022-01-03,P002,S001,69,2760.0,0,0
2022-01-03,P002,S002,72,2880.0,0,0
2022-01-03,P003,S001,90,1350.0,0,0
2022-01-03,P003,S002,113,1695.0,1,0
2022-01-04,P001,S001,70,1750.0,0,0
2022-01-04,P001,S002,78,1950.0,0,0
2022-01-04,P002,S001,80,3200.0,0,0
2022-01-04,P002,S002,89,3560.0,0,0
2022-01-04,P003,S001,84,1260.0,0,0
2022-01-04,P003,S002,80,1200.0,0,0
2022-01-05,P001,S001,72,1800.0,0,0
2022-01-05,P001,S002,112,2800.0,1,0
2022-01-05,P002,S001,116,4640.0,1,0
2022-01-05,P002,S002,90,3600.0,0,0
2022-01-05,P003,S001,72,1080.0,0,0
2022-01-05,P003,S002,75,1125.0,0,0
2022-01-06,P001,S001,74,1850.0,0,0
2022-01-06,P001,S002,99,2475.0,1,0
2022-01-06,P002,S001,81,3240.0,0,0
2022-01-06,P002,S002,87,3480.0,0,0
2022-01-06,P003,S001,91,1365.0,0,0
2022-01-06,P003,S002,72,1080.0,0,0
2022-01-07,P001,S001,87,2175.0,0,0
2022-01-07,P001,S002,85,2125.0,0,0
2022-01-07,P002,S001,69,2760.0,0,0
2022-01-07,P002,S002,70,2800.0,0,0
2022-01-07,P003,S001,108,1620.0,1,0
2022-01-07,P003,S002,69,1035.0,0,0
